folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080487303,1,01,70008037,1969,12,3,8211,2,,70008037,1970,09,3,1003,2,,5,3,02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,08037,08,037,0105,00001,2466
080487304,1,02,70008037,9999,06,6,9999,2,,70032008,9999,06,6,1003,2,,2,0,02,9,1,1,1,9,9,9,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,9,9,2,08037,08,037,0105,00001,2466
080487305,1,01,70008037,1950,09,3,8342,2,2018,70008040,1955,09,3,1003,2,2022,2,1,02,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00001,1233
080488403,1,01,,,,,,,,,,,,,,,,,09,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00002,2785
080488405,1,01,70007040,1960,00,0,6111,2,2003,70007065,9999,06,6,1003,2,2020,7,2,02,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,08037,08,037,0105,00002,1393
080493901,1,04,70008037,9999,09,3,5313,2,,70008037,9999,09,6,1003,2,,3,1,02,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,9,2,2,08037,08,037,0105,00003,7803
080493902,1,01,70008037,1941,00,0,9621,2,,70008050,1951,00,0,1003,2,,8,6,02,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00003,2601
080493903,1,01,,,,,,,,70008032,9999,09,3,1003,2,,6,1,05,1,1,1,1,1,1,9,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00003,2601
080493904,1,02,70030005,9999,06,6,6119,2,2020,70030005,1940,06,3,1003,2,,8,3,02,2,2,2,2,9,2,9,2,1,2,2,1,1,2,2,2,2,2,,,2,2,2,2,2,1,1,1,2,2,9,9,2,2,08037,08,037,0105,00003,3902
080493905,1,01,70010032,1949,06,6,4111,2,1999,70010032,1953,06,6,1003,2,2023,4,0,02,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,,,1,2,1,2,1,2,2,2,2,2,1,1,9,2,08037,08,037,0105,00003,2601
080496001,1,01,70008036,1922,06,6,4211,2,2015,70008011,1934,06,6,7513,2,2015,5,4,03,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00004,824
080496003,1,03,70030003,1975,12,3,5313,1,,70030108,1974,09,3,9233,2,,20,0,03,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00004,1647
080496004,1,01,70008037,9999,09,3,9999,9,,70002002,9999,09,3,1003,2,,3,0,08,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00004,824
080496005,1,01,70008011,9999,06,6,6131,2,,70008019,1960,06,6,4211,2,,4,1,02,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,08037,08,037,0105,00004,1647
